,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
0,Инженер-проектировщик водоснабжения и канализации (ВК),https://www.superjob.ru/vakansii/inzhener-proektirovschik-vodosnabzheniya-i-kanalizacii-33369043.html,"""Концерн ""Автоматика""", Москва,,,
1,Инженер технической поддержки,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-33556693.html,"«Модный Континент» (бренды INCITY, DESEO)"," Москва, Выставочная, Деловой центр",,,
2,Инженер-конструктор,https://www.superjob.ru/vakansii/inzhener-konstruktor-33839845.html,"""Концерн ""Калашников""", Москва,,,
3,Ведущий инженер API,https://www.superjob.ru/vakansii/veduschij-inzhener-api-33808969.html,РОСГОССТРАХ Банк, Москва,,,
4,Инженер 1 категории,https://www.superjob.ru/vakansii/inzhener-1-kategorii-33834329.html,"АО ""Почта России""", Москва,35700,,руб.
5,"Инженер АСУТП (г. Магадан, Магаданская область)",https://www.superjob.ru/vakansii/inzhener-asutp-33795225.html,АНО Агентство по развитию человеческого капитала на Дальнем Востоке и в Арктике, Москва,,,
6,Сервисный инженер (мелкий бытовой ремонт),https://www.superjob.ru/vakansii/servisnyj-inzhener-32029402.html,РемМастер," Москва, Марьино",80000,,руб.
7,Инженер ПТО (электромонтажные работы),https://www.superjob.ru/vakansii/inzhener-pto-33795118.html,JOBCART.RU, Москва,60000,,руб.
8,"Инженер-конструктор, схемотехник",https://www.superjob.ru/vakansii/inzhener-konstruktor-33360043.html,Кадровое агентство уникальных специалистов," Москва, Шоссе Энтузиастов",80000,100000,руб.
9,Инженер-проектировщик пожарной безопасности,https://www.superjob.ru/vakansii/inzhener-proektirovschik-pozharnoj-bezopasnosti-27053168.html,СК БИТЭКС, Москва,100000,,руб.
10,Инженер РЭА,https://www.superjob.ru/vakansii/inzhener-rea-33802308.html,Сириус+, Москва,,,
11,"Ведущий инженер по испытаниям (24 РЭР, 20 РЭР)",https://www.superjob.ru/vakansii/veduschij-inzhener-po-ispytaniyam-33808349.html,"""Московская объединенная электросетевая компания""-филиал МКС", Москва,,,
12,Ведущий инженер-технолог по оптико-электронным изделиям,https://www.superjob.ru/vakansii/veduschij-inzhener-tehnolog-po-optiko-elektronnym-izdeliyam-33776379.html,НПП Александр, Москва,70000,,руб.
13,Старший инженер-механик производства по розливу напитков,https://www.superjob.ru/vakansii/starshij-inzhener-mehanik-proizvodstva-po-rozlivu-napitkov-33839397.html,"Московский пиво-безалкогольный комбинат ""Очаково""", Москва,100000,,руб.
14,Инженер электросвязи,https://www.superjob.ru/vakansii/inzhener-elektrosvyazi-33394463.html,МГТС," Москва, Пражская",,,
15,Ведущий инженер-проектировщик (наружные сети),https://www.superjob.ru/vakansii/veduschij-inzhener-proektirovschik-32899896.html,АВТОБАН," Москва, Юго-Западная",,,
16,Инженер-технолог,https://www.superjob.ru/vakansii/inzhener-tehnolog-33572597.html,Импульс," Москва, Алексеевская, Рижская",,,
17,"Специалист по телемедицинским технологиям (инженер, программист)",https://www.superjob.ru/vakansii/specialist-po-telemedicinskim-tehnologiyam-32444843.html,НИИОЗММ ДЗМ, Москва,,,
18,Инженер КИПиА,https://www.superjob.ru/vakansii/inzhener-kipia-33625865.html,Союзснаб, Москва,55000,65000,руб.
19,"Главный инженер проектов (дороги, мосты)",https://www.superjob.ru/vakansii/glavnyj-inzhener-proektov-33805337.html,Ведомости.HR, Москва,,,
20,Инженер-электрик по проектированию внутренних и наружных электрических систем,https://www.superjob.ru/vakansii/inzhener-elektrik-po-proektirovaniyu-vnutrennih-i-naruzhnyh-elektricheskih-sistem-33376809.html,"""Концерн ""Автоматика""", Москва,,,
21,Инженер сопровождения кредитных технологий,https://www.superjob.ru/vakansii/inzhener-soprovozhdeniya-kreditnyh-tehnologij-33844800.html,РОСГОССТРАХ Банк, Москва,,,
22,Ведущий инженер-технолог,https://www.superjob.ru/vakansii/veduschij-inzhener-tehnolog-33820128.html,"""Концерн ""Калашников""", Москва,,,
23,Сервисный инженер по кондиционированию,https://www.superjob.ru/vakansii/servisnyj-inzhener-po-kondicionirovaniyu-32034409.html,РемМастер, Москва,100000,,руб.
24,Ведущий инженер ПТО (мосты),https://www.superjob.ru/vakansii/veduschij-inzhener-pto-33150641.html,АВТОБАН, Москва,74000,85000,руб.
25,Инженер-проектировщик слаботочных систем / Инженер-проектировщик систем автоматизации,https://www.superjob.ru/vakansii/inzhener-proektirovschik-slabotochnyh-sistem-31959749.html,ИНТЕЛЛЕКТ-СТРОЙ," Москва, Текстильщики",80000,100000,руб.
26,Инженер-сметчик (благоустройство),https://www.superjob.ru/vakansii/inzhener-smetchik-33740443.html,Группа компаний Веста-СФ, Москва,80000,,руб.
27,Инженер-конструктор,https://www.superjob.ru/vakansii/inzhener-konstruktor-33828190.html,Афиша-наружная реклама, Москва,,,
28,Инженер сети радиодоступа,https://www.superjob.ru/vakansii/inzhener-seti-radiodostupa-33528323.html,МГТС, Москва,,,
29,Ведущий инженер-проектировщик систем электроснабжения,https://www.superjob.ru/vakansii/veduschij-inzhener-proektirovschik-sistem-elektrosnabzheniya-30549858.html,ГК Тепло Центр Строй," Москва, Октябрьское поле, Зорге",,,
30,Инженер по медицинскому оборудованию,https://www.superjob.ru/vakansii/inzhener-po-medicinskomu-oborudovaniyu-33800150.html,КДЛ ДОМОДЕДОВО-ТЕСТ, Москва,,70000,руб.
31,Инженер (бытовая и производственная техника),https://www.superjob.ru/vakansii/inzhener-32915346.html,МОССЕРВИС, Москва,,,
32,Инженер сервисный по технологическому оборудованию,https://www.superjob.ru/vakansii/inzhener-servisnyj-po-tehnologicheskomu-oborudovaniyu-33744535.html,Тэо," Москва, Алтуфьево",60000,65000,руб.
33,Инженер по календарно-сетевому планированию,https://www.superjob.ru/vakansii/inzhener-po-kalendarno-setevomu-planirovaniyu-33611295.html,, Москва,90000,100000,руб.
34,"Инженер-технолог по неметаллическим материалам (полимеры, текстиль, резина)",https://www.superjob.ru/vakansii/inzhener-tehnolog-po-nemetallicheskim-materialam-33587954.html,Государственный космический научно-производственный центр имени М.В. Хруничева," Москва, Фили, Багратионовская",,,
35,Инженер по пожарной безопасности ГО и ЧС,https://www.superjob.ru/vakansii/inzhener-po-pozharnoj-bezopasnosti-go-i-chs-33812190.html,"Магнит, Розничная сеть", Москва,,,
36,Инженер-строитель (выездной),https://www.superjob.ru/vakansii/inzhener-stroitel-33822963.html,JOBCART.RU, Москва,,100000,руб.
37,Инженер,https://www.superjob.ru/vakansii/inzhener-33799494.html,Ростелеком, Москва,31000,,руб.
38,Инженер-метролог (поверитель),https://www.superjob.ru/vakansii/inzhener-metrolog-33842013.html,Мособлгаз, Москва,,,
39,Инженер-конструктор (навесные вентилируемые фасады),https://www.superjob.ru/vakansii/inzhener-konstruktor-33767883.html,КапТехноСтрой, Москва,84659,105823,руб.
40,Devops инженер / CICD автоматизатор,https://www.superjob.ru/vakansii/devops-inzhener-33808596.html,РОСГОССТРАХ Банк, Москва,,,
41,Инженер по метрологии,https://www.superjob.ru/vakansii/inzhener-po-metrologii-33802404.html,"""Концерн ""Калашников"""," Москва, Сходненская",,,
42,Сантехник / Сервисный инженер,https://www.superjob.ru/vakansii/santehnik-33508674.html,, Москва,,,
43,Инженер ПТО (благоустройство),https://www.superjob.ru/vakansii/inzhener-pto-33740384.html,Группа компаний Веста-СФ, Москва,70000,,руб.
44,Сервисный инженер по ремонту бытовой техники,https://www.superjob.ru/vakansii/servisnyj-inzhener-po-remontu-bytovoj-tehniki-32641104.html,МОССЕРВИС, Москва,75000,80000,руб.
45,Инженер-конструктор/проектировщик,https://www.superjob.ru/vakansii/inzhener-konstruktor-33804551.html,"""Концерн ""Автоматика""", Москва,,,
46,Инженер-химик,https://www.superjob.ru/vakansii/inzhener-himik-33783501.html,«Омнибус – управляющая компания торгово-производственного холдинга», Москва,,,
47,Ведущий инженер-сметчик,https://www.superjob.ru/vakansii/veduschij-inzhener-smetchik-33675923.html,АльянсТелекоммуникейшнс, Москва,80000,100000,руб.
48,Инженер по автоматизации 2 категории,https://www.superjob.ru/vakansii/inzhener-po-avtomatizacii-2-kategorii-33124244.html,"Акционерное общество Московский пиво-безалкогольный комбинат ""Очаково"""," Москва, Кунцевская",68000,,руб.
49,Инженер-конструктор расчетчик деревянных домов,https://www.superjob.ru/vakansii/inzhener-konstruktor-raschetchik-derevyannyh-domov-33849288.html,Экокомплект, Москва,,,
50,Инженер по наладке и испытаниям,https://www.superjob.ru/vakansii/inzhener-po-naladke-i-ispytaniyam-32677042.html,Руссдрагмет, Москва,,,
51,"Инженер по подготовке производства 2, 11 РЭР",https://www.superjob.ru/vakansii/inzhener-po-podgotovke-proizvodstva-2-33810023.html,"""Московская объединенная электросетевая компания""-филиал МКС"," Москва, Юго-Западная, Улица 1905 года",,,
52,Инженер,https://www.superjob.ru/vakansii/inzhener-32679494.html,Лазерные Компоненты," Москва, Тульская",,,
53,Старший инженер отдела электротехнического оборудования,https://www.superjob.ru/vakansii/starshij-inzhener-otdela-elektrotehnicheskogo-oborudovaniya-33766952.html,Институт Гидропроект, Москва,,,
54,Дежурный инженер,https://www.superjob.ru/vakansii/dezhurnyj-inzhener-33849144.html,СТРАТЕГИЯ," Москва, Бауманская",56000,67000,руб.
55,Ведущий инженер-конструктор (строительство),https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-33406629.html,Государственный космический научно-производственный центр имени М.В. Хруничева," Москва, Фили, Багратионовская",65000,80000,руб.
56,Инженер по эксплуатации зданий и сооружений,https://www.superjob.ru/vakansii/inzhener-po-ekspluatacii-zdanij-i-sooruzhenij-33734305.html,"Черкизово, Группа предприятий", Москва,,85000,руб.
57,Инженер-геодезист,https://www.superjob.ru/vakansii/inzhener-geodezist-33849106.html,Алмакс, Москва,80000,,руб.
58,Инженер-сметчик,https://www.superjob.ru/vakansii/inzhener-smetchik-33827937.html,, Москва,60000,,руб.
59,Инженер электросвязи на оборудование радиосети,https://www.superjob.ru/vakansii/inzhener-elektrosvyazi-na-oborudovanie-radioseti-33648129.html,МГТС," Москва, Ботанический сад, Шипиловская",,63000,руб.
60,Инженер-геодезист,https://www.superjob.ru/vakansii/inzhener-geodezist-33243902.html,Группа компаний Веста-СФ, Москва,,,
61,Инженер широкополостной сети передачи данных (ОШС),https://www.superjob.ru/vakansii/inzhener-shirokopolostnoj-seti-peredachi-dannyh-33818435.html,"""Московская объединенная электросетевая компания""-филиал МКС", Москва,,,
62,Главный инженер сопровождения,https://www.superjob.ru/vakansii/glavnyj-inzhener-soprovozhdeniya-33809978.html,РОСГОССТРАХ Банк," Москва, Киевская",,,
63,"Ведущий инженер по наладке, совершенствованию и эксплуатации электрических сетей",https://www.superjob.ru/vakansii/veduschij-inzhener-po-naladke-33391729.html,"""Концерн ""Калашников""", Москва,,,
64,Инженер-конструктор ПГС,https://www.superjob.ru/vakansii/inzhener-konstruktor-pgs-33839616.html,Родер, Москва,100000,,руб.
65,Инженер по системам ВК и ОВ,https://www.superjob.ru/vakansii/inzhener-po-sistemam-vk-i-ov-33827897.html,СанетехЭлектроСтрой, Москва,60000,,руб.
66,Главный инженер,https://www.superjob.ru/vakansii/glavnyj-inzhener-33795749.html,Новая Заря, Москва,,,
67,Инженер по безопасности дорожного движения,https://www.superjob.ru/vakansii/inzhener-po-bezopasnosti-dorozhnogo-dvizheniya-33802953.html,Купишуз (Lamoda Group), Москва,,,
68,Инженер-конструктор,https://www.superjob.ru/vakansii/inzhener-konstruktor-33550389.html,Морозко, Москва,,,
69,Инженер по механическим системам,https://www.superjob.ru/vakansii/inzhener-po-mehanicheskim-sistemam-33782748.html,Дикси Групп, Москва,,,
70,Инженер цифровой телефонии,https://www.superjob.ru/vakansii/inzhener-cifrovoj-telefonii-26037159.html,Медицина, Москва,,75000,руб.
71,"Инженер систем мониторинга и автоматизации, связи",https://www.superjob.ru/vakansii/inzhener-sistem-monitoringa-i-avtomatizacii-33480556.html,Гейзер-Телеком, Москва,,,
72,Главный инженер / Руководитель службы эксплуатации,https://www.superjob.ru/vakansii/glavnyj-inzhener-33757539.html,, Москва,,,
73,Ведущий инженер по автоматизации (старший специалист),https://www.superjob.ru/vakansii/veduschij-inzhener-po-avtomatizacii-33634460.html,"Московский пиво-безалкогольный комбинат ""Очаково""", Москва,100000,,руб.
74,Инженер-проектировщик базовых станций сотовой связи (Site Design Engineer),https://www.superjob.ru/vakansii/inzhener-proektirovschik-bazovyh-stancij-sotovoj-svyazi-33813540.html,Эрикссон Корпорация А/О, Москва,,,
75,Продакт-менеджер (медицинское оборудование) / Менеджер (инженер) по продажам,https://www.superjob.ru/vakansii/prodakt-menedzher-33848529.html,Владмедпоставка," Москва, Алексеевская",80000,,руб.
76,Инженер-проектировщик базовых станций сотовой связи,https://www.superjob.ru/vakansii/inzhener-proektirovschik-bazovyh-stancij-sotovoj-svyazi-33834347.html,Анкор, Москва,,70000,руб.
77,Главный инженер проекта,https://www.superjob.ru/vakansii/glavnyj-inzhener-proekta-33827119.html,А101 ДЕВЕЛОПМЕНТ," Москва, Теплый Стан и ещё 2 станции",,,
78,Инженер по медицинскому оборудованию,https://www.superjob.ru/vakansii/inzhener-po-medicinskomu-oborudovaniyu-33733250.html,«Группа ГУТА», Москва,,,
79,Инженер КИПиА,https://www.superjob.ru/vakansii/inzhener-kipia-29375214.html,«Черкизово», Москва,,60000,руб.
80,Инженер-проектировщик,https://www.superjob.ru/vakansii/inzhener-proektirovschik-24975096.html,Группа компаний Веста-СФ," Москва, Кузьминки и ещё 4 станции",,110000,руб.
81,Инженер службы кабельных трасс (СКТ),https://www.superjob.ru/vakansii/inzhener-sluzhby-kabelnyh-trass-33818433.html,"""Московская объединенная электросетевая компания""-филиал МКС", Москва,,,
82,Инженер-системотехник,https://www.superjob.ru/vakansii/inzhener-sistemotehnik-33782962.html,"""Концерн ""Калашников"""," Москва, Павелецкая",,,
83,Инженер-конструктор РЭА,https://www.superjob.ru/vakansii/inzhener-konstruktor-rea-28793651.html,Гейзер-Телеком, Москва,70000,,руб.
84,Инженер-химик в аккредитованную лабораторию,https://www.superjob.ru/vakansii/inzhener-himik-v-akkreditovannuyu-laboratoriyu-33112618.html,Новая Заря," Москва, Добрынинская",,,
85,Инженер-технолог 3 категории,https://www.superjob.ru/vakansii/inzhener-tehnolog-3-kategorii-33705378.html,Московское машиностроительное предприятие имени В. В. Чернышева," Москва, Тушинская",,,
86,Инженер-проектировщик,https://www.superjob.ru/vakansii/inzhener-proektirovschik-33648998.html,Техстронг, Москва,,,
87,Инженер ПТО,https://www.superjob.ru/vakansii/inzhener-pto-29727631.html,«СервисТеплоГаз», Москва,,,
88,Инженер-энергетик,https://www.superjob.ru/vakansii/inzhener-energetik-30678938.html,, Москва,64000,,руб.
89,"Инженер-проектировщик слаботочных систем, сетей связи",https://www.superjob.ru/vakansii/inzhener-proektirovschik-slabotochnyh-sistem-29403435.html,Монтажсетьстрой," Москва, Смоленская",65000,80000,руб.
90,Сетевой инженер,https://www.superjob.ru/vakansii/setevoj-inzhener-33826639.html,Софт технолоджи, Москва,,,
91,Инженер-конструктор ПГС,https://www.superjob.ru/vakansii/inzhener-konstruktor-pgs-33648157.html,Торговый дом Мособлстрой-31," Москва, Чертановская",,,
92,Инженер-электронщик (разработчик радиоэлектронной аппаратуры),https://www.superjob.ru/vakansii/inzhener-elektronschik-33847072.html,МФТИ ГУ, Москва,,,
93,Инженер по подбору теплообменного и насосного оборудования,https://www.superjob.ru/vakansii/inzhener-po-podboru-teploobmennogo-i-nasosnogo-oborudovaniya-31061134.html,Фирма ВОДОКОМФОРТ, Москва,,,
94,Инженер-проектировщик слаботочных систем,https://www.superjob.ru/vakansii/inzhener-proektirovschik-slabotochnyh-sistem-33451937.html,Желдорпроект," Москва, Семеновская",,,
95,Ведущий инженер ПТО (Бангладеш),https://www.superjob.ru/vakansii/veduschij-inzhener-pto-30971632.html,Институт Оргэнергострой, Москва,,,
96,Инженер СХД,https://www.superjob.ru/vakansii/inzhener-shd-32350095.html,"""Концерн ""Автоматика"", ООО ""НТ""."," Москва, Киевская",,,
97,Инженер-сметчик,https://www.superjob.ru/vakansii/inzhener-smetchik-33507662.html,МонтажСпецСтрой," Москва, Текстильщики",,,
98,"Инженер ПТО (ОВиК, ВК)",https://www.superjob.ru/vakansii/inzhener-pto-33561335.html,АКВИЛОН," Москва, Охотный ряд, Китай-город",80000,,руб.
99,Сервисный инженер / Специалист по ремонту АКБ и ЗУ,https://www.superjob.ru/vakansii/servisnyj-inzhener-32663814.html,Линде Материал Хэндлинг Рус (Linde MH)," Москва, Юго-Западная и ещё 3 станции",,,
100,"Инженер-проектировщик НВК (водопровод, канализация, водосток)",https://www.superjob.ru/vakansii/inzhener-proektirovschik-nvk-26957154.html,Группа компаний Веста-СФ," Москва, Кузьминки и ещё 2 станции",,,
101,Инженер-электроник,https://www.superjob.ru/vakansii/inzhener-elektronik-33782958.html,"""Концерн ""Калашников"""," Москва, Павелецкая",,,
102,"Ведущий инженер по диспетчерскому оборудованию и телеавтоматике 5 РЭР, 14 РЭР",https://www.superjob.ru/vakansii/veduschij-inzhener-po-dispetcherskomu-oborudovaniyu-i-teleavtomatike-5-rer-30252625.html,"""Московская объединенная электросетевая компания""-филиал МКС"," Москва, Перово, Проспект Мира",,,
103,Инженер-проектировщик,https://www.superjob.ru/vakansii/inzhener-proektirovschik-31179614.html,«СервисТеплоГаз», Москва,70000,80000,руб.
104,Инженер BIM (Revit Civil 3D),https://www.superjob.ru/vakansii/inzhener-bim-31611244.html,Монтажсетьстрой, Москва,,,
105,Ведущий инженер по строительному контролю (сварка) (С переездом в Бангладеш),https://www.superjob.ru/vakansii/veduschij-inzhener-po-stroitelnomu-kontrolyu-31944499.html,Институт Оргэнергострой, Москва,,,
106,Инженер-испытатель,https://www.superjob.ru/vakansii/inzhener-ispytatel-33846871.html,МФТИ ГУ, Москва,,,
107,Инженер архива научно-технической документации,https://www.superjob.ru/vakansii/inzhener-arhiva-nauchno-tehnicheskoj-dokumentacii-33359449.html,ГИПРОСВЯЗЬ, Москва,35000,,руб.
108,Инженер-наладчик РЗА,https://www.superjob.ru/vakansii/inzhener-naladchik-rza-33793556.html,АСВОМЕД-Дизайн, Москва,,,
109,Инженер-проектировщик,https://www.superjob.ru/vakansii/inzhener-proektirovschik-33846476.html,Инжсетьстрой-10, Москва,,,
110,Сервисный инженер / Механик / Техник по ремонту холодильного оборудования (юг Москвы и М/О),https://www.superjob.ru/vakansii/servisnyj-inzhener-32969320.html,Балтик Мастер М, Москва,,100000,руб.
111,Инженер отдела МТО (снабжение),https://www.superjob.ru/vakansii/inzhener-otdela-mto-33767791.html,Строймеханизация, Москва,60000,70000,руб.
112,Ведущий инженер по организации и ремонту,https://www.superjob.ru/vakansii/veduschij-inzhener-po-organizacii-i-remontu-33258027.html,Руссдрагмет, Москва,126500,135000,руб.
113,Инженер ПТО,https://www.superjob.ru/vakansii/inzhener-pto-33829914.html,СК МонтажСпецСтрой, Москва,90000,,руб.
114,Инженер-проектировщик (инженер-гидролог),https://www.superjob.ru/vakansii/inzhener-proektirovschik-33845685.html,"Инженерный центр ""Теплобиз""", Москва,60000,,руб.
115,Инженер по оборудованию ЧПУ,https://www.superjob.ru/vakansii/inzhener-po-oborudovaniyu-chpu-33813970.html,Ипатюк Олег, Москва,,,
116,Инженер по учету ГСМ,https://www.superjob.ru/vakansii/inzhener-po-uchetu-gsm-33815504.html,Полиметалл, Москва,,119000,руб.
117,Инженер по метрологии,https://www.superjob.ru/vakansii/inzhener-po-metrologii-33292671.html,ФГБУ Центральное управление по гидрометеорологии и мониторингу окружающей среды, Москва,30000,35000,руб.
118,Ведущий инженер DevOps,https://www.superjob.ru/vakansii/veduschij-inzhener-devops-33502698.html,Стаффмикс," Москва, Тургеневская",,,
119,Инженер по эксплуатации МКД,https://www.superjob.ru/vakansii/inzhener-po-ekspluatacii-mkd-33379984.html,УПРАВЛЯЮЩАЯ КОМПАНИЯ ТЕРМОИНЖСЕРВИС, Москва,,,
120,Инженер-конструктор,https://www.superjob.ru/vakansii/inzhener-konstruktor-29233987.html,Группа компаний Веста-СФ, Москва,,,
121,Ведущий инженер по наладке и испытаниям,https://www.superjob.ru/vakansii/veduschij-inzhener-po-naladke-i-ispytaniyam-33796774.html,Московская объединенная электросетевая компания, Москва,54000,63000,руб.
122,Инженер-проектировщик по генплану,https://www.superjob.ru/vakansii/inzhener-proektirovschik-po-genplanu-33124078.html,Энергопроммонтаж," Москва, Славянский бульвар",65000,80000,руб.
