_id,link,images,name,parameters,price
5ed41359f8d8ac174e495051,https://leroymerlin.ru/product/doska-stroganaya-20h96h3000-mm-hvoya-sort-optima-81947452/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81947452.jpg"",""path"":""Доска строганая 20х96х3000 мм хвоя сорт Оптима/81947452.jpg"",""checksum"":""c73e8244534b0827a8e829026a0b69f6""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81947452_01.jpg"",""path"":""Доска строганая 20х96х3000 мм хвоя сорт Оптима/81947452_01.jpg"",""checksum"":""67feeb3bc9e5c2d5ffaa1bfc99951d9f""}]",Доска строганая 20х96х3000 мм хвоя сорт Оптима,"[{""Вес, кг"":""2.59"",""Длина (м)"":""3.0"",""Ширина (мм)"":""96.0"",""Толщина (мм)"":""20.0"",""Порода древесины"":""Сосна, Ель обыкновенная"",""Тип древесины"":""Массив"",""Страна производства"":""Россия""}]",140
5ed4135df8d8ac174e495053,https://leroymerlin.ru/product/doska-stroganaya-20h96h3000-mm-hvoya-82134775/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134775.jpg"",""path"":""Доска строганая 20х96х3000 мм хвоя/82134775.jpg"",""checksum"":""ea5afe079010c0ccb7059a590ea0d7e6""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134775_01.jpg"",""path"":""Доска строганая 20х96х2000 мм хвоя/82134775_01.jpg"",""checksum"":""6439f4b9e19a4c368302c1d6ca040e79""}]",Доска строганая 20х96х3000 мм хвоя,"[{""Вес, кг"":""2.6"",""Длина (м)"":""3.0"",""Ширина (мм)"":""96.0"",""Толщина (мм)"":""20.0"",""Порода древесины"":""Сосна, Ель обыкновенная"",""Страна производства"":""Россия""}]",140
5ed41360f8d8ac174e495056,https://leroymerlin.ru/product/doska-s-faskoy-43h192h2000-mm-listvennica-sort-optima-81950027/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81950027.jpg"",""path"":""Доска строганая 20х146х3000 мм хвоя/81950027.jpg"",""checksum"":""8dd4415600a582f40757911aa4131c91""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81950027_01.jpg"",""path"":""Доска с фаской 43х140х2000 мм лиственница сорт Оптима/81950027_01.jpg"",""checksum"":""553c11113434aabc689768d9859ca9d0""}]",Доска с фаской 43х192х2000 мм лиственница сорт Оптима,"[{""Страна производства"":""Россия"",""Гарантия (лет)"":""Отсутствует"",""Цвет"":""Бежевый"",""Основной материал"":""Дерево"",""Содержит древесину"":""Да"",""Порода древесины"":""Лиственница"",""Качество древесины (ЛМРУ)"":""Оптима"",""Тип древесины"":""Массив"",""Нескользящая поверхность"":""Нет"",""Влажность (%)"":""18.0"",""Твердость дерева (по Бриннелю)"":""2.5"",""Обработка"":""Камерная сушка"",""Процесс обработки"":""Нет"",""Требуется пропитка"":""Да"",""Требуется защита от"":""Влага"",""Двухсторонний"":""Нет"",""Влагостойкий"":""Нет"",""Применение продукта"":""Бытовой"",""Площадь покрытия продуктом (м²)"":""0.384"",""Толщина (мм)"":""43.0"",""Ширина (см)"":""19.2"",""Длина (см)"":""200.0"",""Тип монтажа"":""Скрытый"",""Укладка на бетон"":""На обрешетку из деревянных брусков"",""Укладка на мягкий грунт"":""На обрешетку из деревянных брусков"",""Расстояние между лагами (см)"":""40"",""Расстояние между креплениями (см)"":""40.0"",""Язык инструкции"":""Русский"",""Язык упаковки"":""Русский"",""Вес, кг"":""10.73"",""Ширина товара в индивидуальной упаковке (см)"":""19.2"",""Высота товара в индивидуальной упаковке (см)"":""4.3"",""Глубина товара в индивидуальной упаковке (см)"":""200.0""}]",646
5ed41362f8d8ac174e495059,https://leroymerlin.ru/product/doska-stroganaya-20h96h2000-mm-hvoya-82134774/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134774.jpg"",""path"":""Доска нестроганая 25х150х3000 мм хвоя сорт Оптима/82134774.jpg"",""checksum"":""1bf67126934bbe5e3140291040a24006""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134774_01.jpg"",""path"":""Доска строганая 40х96х3000 мм хвоя/82134774_01.jpg"",""checksum"":""89f335cf2365686e18f2cd6b35d78ea3""}]",Доска строганая 20х96х2000 мм хвоя,"[{""Вес, кг"":""1.72"",""Длина (м)"":""2.0"",""Ширина (мм)"":""96.0"",""Толщина (мм)"":""20.0"",""Количество в наборе"":""1"",""Порода древесины"":""Сосна, Ель обыкновенная"",""Страна производства"":""Россия""}]",90
5ed41365f8d8ac174e49505b,https://leroymerlin.ru/product/doska-stroganaya-20h146h3000-mm-hvoya-82134777/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134777.jpg"",""path"":""Доска нестроганая, 25х75х3000мм, хвоя/82134777.jpg"",""checksum"":""9e6c57117d7c28732289f077526c8d50""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134777_01.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/82134777_01.jpg"",""checksum"":""86ffee74545177865ec912625ae9539e""}]",Доска строганая 20х146х3000 мм хвоя,"[{""Вес, кг"":""4.33"",""Длина (м)"":""3.0"",""Ширина (мм)"":""146.0"",""Толщина (мм)"":""20.0"",""Порода древесины"":""Ель обыкновенная, Сосна"",""Страна производства"":""Россия""}]",248
5ed41367f8d8ac174e49505d,https://leroymerlin.ru/product/doska-s-faskoy-43h140h2000-mm-listvennica-sort-optima-81950025/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81950025.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/81950025.jpg"",""checksum"":""8dd4415600a582f40757911aa4131c91""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81950025_01.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/81950025_01.jpg"",""checksum"":""553c11113434aabc689768d9859ca9d0""}]",Доска с фаской 43х140х2000 мм лиственница сорт Оптима,"[{""Страна производства"":""Россия"",""Гарантия (лет)"":""Отсутствует"",""Цвет"":""Бежевый"",""Основной материал"":""Дерево"",""Содержит древесину"":""Да"",""Порода древесины"":""Лиственница"",""Качество древесины (ЛМРУ)"":""Оптима"",""Тип древесины"":""Массив"",""Нескользящая поверхность"":""Нет"",""Влажность (%)"":""18.0"",""Твердость дерева (по Бриннелю)"":""2.5"",""Обработка"":""Камерная сушка"",""Процесс обработки"":""Нет"",""Требуется пропитка"":""Да"",""Требуется защита от"":""Влага"",""Двухсторонний"":""Нет"",""Влагостойкий"":""Нет"",""Применение продукта"":""Бытовой"",""Площадь покрытия продуктом (м²)"":""0.28"",""Толщина (мм)"":""43.0"",""Длина (см)"":""200.0"",""Тип монтажа"":""Скрытый"",""Укладка на бетон"":""На обрешетку из деревянных брусков"",""Укладка на мягкий грунт"":""На обрешетку из деревянных брусков"",""Расстояние между лагами (см)"":""40"",""Расстояние между креплениями (см)"":""40.0"",""Язык инструкции"":""Русский"",""Язык упаковки"":""Русский"",""Вес, кг"":""7.83"",""Ширина товара в индивидуальной упаковке (см)"":""14.0"",""Высота товара в индивидуальной упаковке (см)"":""4.3"",""Глубина товара в индивидуальной упаковке (см)"":""200.0""}]",470
5ed41369f8d8ac174e49505f,https://leroymerlin.ru/product/doska-nestroganaya-25h150h3000-mm-hvoya-sort-optima-81947446/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81947446.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/81947446.jpg"",""checksum"":""d9d31a258f9c6dc0b72709d57b20c056""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81947446_01.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/81947446_01.jpg"",""checksum"":""ffd5501f20e45209b97980c15af09cc0""}]",Доска нестроганая 25х150х3000 мм хвоя сорт Оптима,"[{""Вес, кг"":""5.63"",""Длина (м)"":""3.0"",""Ширина (мм)"":""150.0"",""Толщина (мм)"":""25.0"",""Порода древесины"":""Сосна, Ель обыкновенная"",""Тип древесины"":""Массив"",""Страна производства"":""Россия""}]",250
5ed4136cf8d8ac174e495063,https://leroymerlin.ru/product/doska-stroganaya-40h96h3000-mm-hvoya-82134778/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134778.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/82134778.jpg"",""checksum"":""5849b050a600c56dad3bc0724290c6ed""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82134778_01.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/82134778_01.jpg"",""checksum"":""8e9d4cf2096ecc1d793a2bbe0c887434""}]",Доска строганая 40х96х3000 мм хвоя,"[{""Вес, кг"":""5.18"",""Длина (м)"":""3.0"",""Ширина (мм)"":""96.0"",""Толщина (мм)"":""40.0"",""Количество в наборе"":""1"",""Порода древесины"":""Сосна, Ель обыкновенная"",""Страна производства"":""Россия""}]",268
5ed4136ef8d8ac174e495065,https://leroymerlin.ru/product/doska-nestroganaya-82017666/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82017666.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/82017666.jpg"",""checksum"":""0be6aca7a02dd7c026ff0611120547ec""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82017666_01.jpg"",""path"":""Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²/82017666_01.jpg"",""checksum"":""a27cce4de0ea5909e61b07b1c7c6b886""}]","Доска нестроганая, 25х75х3000мм, хвоя","[{""Вес, кг"":""2.5"",""Длина (м)"":""3.0"",""Ширина (мм)"":""75.0"",""Толщина (мм)"":""25.0"",""Количество в наборе"":""1"",""Порода древесины"":""Сосна, Ель обыкновенная"",""Тип древесины"":""Массив"",""Страна производства"":""Россия""}]",135
5ed41377f8d8ac174e495069,https://leroymerlin.ru/product/planken-pryamoy-listvennica-20x140x3000-mm-sort-optima-5-sht-2-1-m-18630027/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18630027.jpg"",""path"":""Планкен прямой  лиственница 20х140х3000 мм сорт Прима 5 шт. 0.42 м²/18630027.jpg"",""checksum"":""295269d7bc57d1b69b4e11c8ba906444""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18630027_01.jpg"",""path"":""Планкен прямой  лиственница 20х140х2000 мм сорт Прима 5 шт. 0.28 м²/18630027_01.jpg"",""checksum"":""9862d995075638adfdb0bef37d7e3bd6""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18630027_02.jpg"",""path"":""Планкен прямой Оптима 2000x140x20 мм лиственница, 5 шт./18630027_02.jpg"",""checksum"":""9b45d431f02453c084dab9257eea7ba9""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18630027_03.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/18630027_03.jpg"",""checksum"":""707940b1826cfc10fa8339020c71fffa""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18630027_04.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/18630027_04.jpg"",""checksum"":""20577bb1dae5e0ea1f7d27216c395d86""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18630027_i.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/18630027_i.jpg"",""checksum"":""b7e7a5b74a2159b348f85c20334e4934""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18630027_i_01.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/18630027_i_01.jpg"",""checksum"":""68abdbecafbaf59963f302b2e2055ede""}]",Планкен прямой  лиственница 20x140x3000 мм сорт Оптима 5 шт. 2.1 м²,"[{""Вес, кг"":""25.2"",""Длина (м)"":""3.0"",""Ширина (мм)"":""140.0"",""Толщина (мм)"":""20.0"",""Порода древесины"":""Лиственница"",""Страна производства"":""Россия""}]",3358
5ed41378f8d8ac174e49506b,https://leroymerlin.ru/product/planken-pryamoy-listvennica-20h140h3000-mm-sort-prima-5-sht-0-42-m-82273430/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82273430_tmp.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/82273430_tmp.jpg"",""checksum"":""44622b9c0ac0784377db57590dc3f4c2""}]",Планкен прямой  лиственница 20х140х3000 мм сорт Прима 5 шт. 0.42 м²,"[{""Вес, кг"":""28.0"",""Длина (м)"":""3.0"",""Ширина (мм)"":""140.0"",""Толщина (мм)"":""20.0"",""Порода древесины"":""Лиственница"",""Тип древесины"":""Массив"",""Страна производства"":""Россия""}]",3005
5ed41379f8d8ac174e49506d,https://leroymerlin.ru/product/planken-pryamoy-listvennica-20h140h2000-mm-sort-prima-5-sht-0-28-m-82273429/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82273429_tmp.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/82273429_tmp.jpg"",""checksum"":""44622b9c0ac0784377db57590dc3f4c2""}]",Планкен прямой  лиственница 20х140х2000 мм сорт Прима 5 шт. 0.28 м²,"[{""Вес, кг"":""18.0"",""Длина (м)"":""2.0"",""Ширина (мм)"":""140.0"",""Толщина (мм)"":""20.0"",""Порода древесины"":""Лиственница"",""Тип древесины"":""Массив"",""Страна производства"":""Россия""}]",1898
5ed41380f8d8ac174e495071,https://leroymerlin.ru/product/planken-pryamoy-optima-2000x140x20-mm-listvennica-81949808/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81949808.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/81949808.jpg"",""checksum"":""20b407b1b794d897359a4e2b4dd2a3a6""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81949808_01.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/81949808_01.jpg"",""checksum"":""82436eca8005d409e753f818470ad04c""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81949808_02.jpg"",""path"":""Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²/81949808_02.jpg"",""checksum"":""3a411526956db05d31202f3aa5fdd8fc""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81949808_03.jpg"",""path"":""Доска нестроганая 50х150х6000 мм, хвоя/81949808_03.jpg"",""checksum"":""62869e693b1f646c693e19f5be759d36""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/81949808_i.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/81949808_i.jpg"",""checksum"":""df7a1547d6ee705b645250335b448290""}]","Планкен прямой Оптима 2000x140x20 мм лиственница, 5 шт.","[{""Количество в упаковке (шт)"":""5"",""Страна производства"":""Россия"",""Цвет"":""бежевый"",""Поверхность"":""Гладкий"",""Рабочая площадь (м²)"":""0.28"",""Толщина (мм)"":""100"",""Длина (см)"":""200"",""Ширина (см)"":""14"",""Вес, кг"":""3.14"",""Основной материал"":""Лиственница"",""Установка"":""Зажимы / прибивание / крепление скобами""}]",1128
5ed41386f8d8ac174e495073,https://leroymerlin.ru/product/planken-pryamoy-termo-yasen-20x100x2000-mm-sort-optima-1-sht-0-2-m-82366200/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82366200.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/82366200.jpg"",""checksum"":""0996fc5c2d9d5c29a612e3237f8ce26f""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82366200_01.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/82366200_01.jpg"",""checksum"":""cf80826b8827f8177c1ee46221bc1360""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82366200_02.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/82366200_02.jpg"",""checksum"":""e87f0bd29548c2c36bd57be222a0fa56""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82366200_03.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/82366200_03.jpg"",""checksum"":""e3b465683cc435bd692f29f88fe2b455""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82366200_04.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/82366200_04.jpg"",""checksum"":""7900c52b3c02fd97b8f9ae57cf65431b""}]",Планкен прямой  термо ясень 20x100x2000 мм сорт Оптима 1 шт. 0.2 м²,"[{""Вес, кг"":""1.5"",""Длина (м)"":""2.0"",""Ширина (мм)"":""100.0"",""Толщина (мм)"":""20.0"",""Порода древесины"":""Каштан"",""Тип древесины"":""Массив"",""Страна производства"":""Россия""}]",1074
5ed41388f8d8ac174e495076,https://leroymerlin.ru/product/doska-nestroganaya-50h150h6000-mm-82205566/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82205566.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/82205566.jpg"",""checksum"":""824962b84df792b2e49591c5f359e3f7""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82205566_01.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/82205566_01.jpg"",""checksum"":""8da4abf74a72745e09648d63c811ca3a""}]","Доска нестроганая 50х150х6000 мм, хвоя","[{""Вес, кг"":""40.5"",""Длина (м)"":""6.0"",""Ширина (мм)"":""150.0"",""Толщина (мм)"":""50.0"",""Количество в наборе"":""2"",""Порода древесины"":""Сосна, Ель обыкновенная"",""Тип древесины"":""Необработанное дерево"",""Страна производства"":""Россия""}]",912
5ed41391f8d8ac174e495079,https://leroymerlin.ru/product/polok-planken-termo-hvoya-26x92x3000-mm-1-sht-0-28-m-18629974/,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18629974.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²/18629974.jpg"",""checksum"":""f117f06db5691508901cbcc83cb70e86""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18629974_01.jpg"",""path"":""Полок  планкен  термо хвоя 26x92x2100 мм  1 шт. 0.19 м²/18629974_01.jpg"",""checksum"":""7dbc812e264665fd3c2c3831d464901c""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18629974_02.jpg"",""path"":""Планкен скошенный  лиственница 20х140х3000 мм сорт Оптима 1 шт. 0.42 м²/18629974_02.jpg"",""checksum"":""326bd1fe211b91c98ae3cff340487cbf""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18629974_03.jpg"",""path"":""Планкен скошенный  лиственница 20х140х3000 мм сорт Оптима 1 шт. 0.42 м²/18629974_03.jpg"",""checksum"":""1dc73a30c6bc8581ddb4459173956628""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18629974_04.jpg"",""path"":""Планкен скошенный  лиственница 20х140х3000 мм сорт Оптима 1 шт. 0.42 м²/18629974_04.jpg"",""checksum"":""2f12d7dcf71e8b58fe2cf5760cd9c3d6""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18629974_05.jpg"",""path"":""Планкен прямой  лиственница 20х140х3000 мм сорт Оптима 1 шт. 0.42 м²/18629974_05.jpg"",""checksum"":""4545435e22937a959ce56eb9fb1c9c61""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18629974_i.jpg"",""path"":""Планкен прямой  лиственница 20х140х3000 мм сорт Оптима 1 шт. 0.42 м²/18629974_i.jpg"",""checksum"":""ca9b2261475435ea7f978b7fb8a1c8da""}]",Полок  планкен  термо хвоя 26x92x3000 мм  1 шт. 0.28 м²,"[{""Вес, кг"":""2.87"",""Длина (м)"":""3.0"",""Ширина (мм)"":""92.0"",""Толщина (мм)"":""26.0"",""Порода древесины"":""Сосна"",""Страна производства"":""Россия""}]",787
